"nom","prénom","groupe","rattachement_parti","sexe","département","id_nossenateurs","url_institution"
"LAURENT-PERRIGOT","Françoise","SOC","Parti socialiste","F","Gard","francoise-laurent-perrigot","http://www.senat.fr/senateur/laurent_perrigot_francoise08063a.html"
"LE CAM","Gérard","CRC","Parti communiste Français","H","Côtes-d'Armor","gerard-le-cam","http://www.senat.fr/senateur/le_cam_gerard98038x.html"
"LE MENN","Jacky","SOC","Parti socialiste","H","Ille-et-Vilaine","jacky-le-menn","http://www.senat.fr/senateur/le_menn_jacky08037x.html"
"LE SCOUARNEC","Michel","CRC","Parti communiste Français","H","Morbihan","michel-le-scouarnec","http://www.senat.fr/senateur/le_scouarnec_michel11098y.html"
"LECERF","Jean-René","UMP","Union pour un Mouvement Populaire","H","Nord","jean-rene-lecerf","http://www.senat.fr/senateur/lecerf_jean_rene01042p.html"
"LECONTE","Jean-Yves","SOC","Parti socialiste","H","Français établis hors de France","jean-yves-leconte","http://www.senat.fr/senateur/leconte_jean_yves11026g.html"
"LEFÈVRE","Antoine","UMP","Union pour un Mouvement Populaire","H","Aisne","antoine-lefevre","http://www.senat.fr/senateur/lefevre_antoine08010l.html"
"LEGENDRE","Jacques","UMP","Union pour un Mouvement Populaire","H","Nord","jacques-legendre","http://www.senat.fr/senateur/legendre_jacques92031p.html"
"de LEGGE","Dominique","UMP","Union pour un Mouvement Populaire","H","Ille-et-Vilaine","dominique-de-legge","http://www.senat.fr/senateur/de_legge_dominique08034u.html"
"LELEUX","Jean-Pierre","UMP","Union pour un Mouvement Populaire","H","Alpes-Maritimes","jean-pierre-leleux","http://www.senat.fr/senateur/leleux_jean_pierre08039a.html"
"LENOIR","Jean-Claude","UMP","Union pour un Mouvement Populaire","H","Orne","jean-claude-lenoir","http://www.senat.fr/senateur/lenoir_jean_claude11100y.html"
"LEPAGE","Claudine","SOC","Parti socialiste","F","Français établis hors de France","claudine-lepage","http://www.senat.fr/senateur/lepage_claudine08017t.html"
"LEROY","Jean-Claude","SOC","Parti socialiste","H","Pas-de-Calais","jean-claude-leroy","http://www.senat.fr/senateur/leroy_jean_claude11059r.html"
"LEROY","Philippe","UMP","Union pour un Mouvement Populaire","H","Moselle","philippe-leroy","http://www.senat.fr/senateur/leroy_philippe01061s.html"
"LÉTARD","Valérie","UDI-UC","Union des radicaux, centristes, indépendants et démocrates","F","Nord","valerie-letard","http://www.senat.fr/senateur/letard_valerie01043q.html"
"LIENEMANN","Marie-Noëlle","SOC","Parti socialiste","F","Paris","marie-noelle-lienemann","http://www.senat.fr/senateur/lienemann_marie_noelle11077t.html"
"LIPIETZ","Hélène","ECOLO","Europe Écologie Les Verts","F","Seine-et-Marne","helene-lipietz","http://www.senat.fr/senateur/lipietz_helene12035a.html"
"LONGUET","Gérard","UMP","Union pour un Mouvement Populaire","H","Meuse","gerard-longuet","http://www.senat.fr/senateur/longuet_gerard01048v.html"
"LORGEOUX","Jeanny","SOC","Parti socialiste","H","Loir-et-Cher","jeanny-lorgeoux","http://www.senat.fr/senateur/lorgeoux_jeanny11106f.html"
"LOZACH","Jean-Jacques","SOC","Parti socialiste","H","Creuse","jean-jacques-lozach","http://www.senat.fr/senateur/lozach_jean_jacques08012n.html"
"du LUART","Roland","UMP","Union pour un Mouvement Populaire","H","Sarthe","roland-du-luart","http://www.senat.fr/senateur/du_luart_roland77043e.html"
"MADEC","Roger","SOC","Parti socialiste","H","Paris","roger-madec","http://www.senat.fr/senateur/madec_roger04079r.html"
"MADRELLE","Philippe","SOC","Parti socialiste","H","Gironde","philippe-madrelle","http://www.senat.fr/senateur/madrelle_philippe80027e.html"
"MAGNER","Jacques-Bernard","SOC","Parti socialiste","H","Puy-de-Dôme","jacques-bernard-magner","http://www.senat.fr/senateur/magner_jacques_bernard11104d.html"
"MAGRAS","Michel","UMP","Union pour un Mouvement Populaire","H","Saint-Barthélemy","michel-magras","http://www.senat.fr/senateur/magras_michel08019v.html"
"MARC","François","SOC","Parti socialiste","H","Finistère","francois-marc","http://www.senat.fr/senateur/marc_francois98046x.html"
